"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS"
"02022","650","674","145","137","779","263","1003","68","253"
"02023","471","570","76","71","630","264","893","58","90"
"02024","517","624","94","90","735","222","783","88","270"
"02025","560","607","117","100","673","277","897","103","167"
"02026","986","1191","213","223","1276","465","1624","150","403"
"02027","952","1115","231","156","1205","475","1582","160","325"
"02028","946","1132","200","193","1217","468","1579","137","362"
"02029","597","706","164","94","750","295","1031","94","178"
"02030","631","737","173","117","831","247","970","106","292"
"02031","475","568","119","86","542","296","888","60","95"
"02032","510","653","110","92","611","350","938","84","141"
"02033","562","653","133","92","721","269","961","89","165"
"02034","538","690","112","92","740","284","845","105","278"
"02035","586","718","107","101","747","349","1016","90","198"
"02036","526","659","121","91","702","271","971","89","125"
"02037","583","616","109","114","687","289","1029","89","81"
"02038","744","815","114","198","957","290","1277","88","194"
"02039","770","984","176","153","1067","358","1336","157","261"
"02040","810","890","170","129","1087","314","1158","182","360"
"02041","761","927","163","135","947","443","1315","130","243"
"02042","714","865","126","126","835","492","1397","63","119"
"02043","718","786","176","138","880","310","1231","76","197"
"02044","588","705","142","107","717","327","962","101","230"
"02045","527","622","120","90","639","300","903","76","170"
"02046","921","1040","237","162","1180","382","1486","127","348"
"02047","912","1025","207","194","1076","460","1483","114","340"
"02048","579","692","136","113","776","246","889","111","271"
"02049","985","1153","195","147","1322","474","1426","221","491"
"02050","753","902","147","135","1052","321","1153","187","315"
"02051","898","1021","154","171","1202","392","1250","241","428"
"02052","857","981","178","167","1151","342","1280","214","344"
"02053","861","998","178","155","1156","370","1382","182","295"
"02054","852","1011","231","130","1060","442","1449","167","247"
"02055","855","960","175","159","1072","409","1425","149","241"
"02056","659","807","161","122","891","292","1092","184","190"
"02057","596","686","179","109","680","314","1038","138","106"
"02058","646","741","160","111","766","350","1147","104","136"
"02059","731","938","196","121","967","385","1298","151","220"
"02060","772","953","223","147","965","390","1322","176","227"
"02061","599","753","132","132","838","250","985","149","218"
"02062","718","786","178","136","897","293","1137","210","157"
"02063","497","741","127","122","603","386","957","142","139"
"02064","613","716","159","117","729","324","1028","160","141"
"02065","914","1009","231","163","1196","333","1418","253","252"
"02066","811","953","175","133","995","461","1417","147","200"
"02067","777","898","193","134","1082","266","1171","239","265"
"02068","755","862","182","109","978","348","1193","212","212"
"02069","629","727","164","129","757","306","1046","162","148"
"02070","572","692","127","148","720","269","939","152","173"
"02071","808","895","197","155","1014","337","1328","209","166"
"02072","593","612","138","129","670","268","977","127","101"
"02073","748","884","172","170","978","312","1211","245","176"
"02074","616","644","142","133","765","220","820","231","209"
"02075","619","690","144","133","778","254","885","243","181"
"02076","759","857","185","167","934","330","1203","204","209"
"02077","850","804","133","173","1047","301","1022","266","366"
"02078","626","718","140","144","748","312","880","197","267"
"02079","667","701","143","154","790","281","911","173","284"
"02080","785","780","172","142","915","336","1105","190","270"
"02081","960","1140","203","202","1211","484","1549","237","314"
"02082","427","479","72","90","516","228","690","116","100"
"02083","838","987","199","207","1009","410","1321","218","286"
"02084","932","1135","206","184","1275","402","1573","228","266"
"02085","616","796","143","129","861","279","1046","202","164"
"02086","667","777","184","153","860","247","1129","144","171"
"02087","677","803","166","134","882","298","1142","134","204"
"02088","775","891","155","170","983","358","1263","195","208"
"02089","863","963","171","176","1141","338","1341","231","254"
"02090","781","922","162","140","1085","316","1162","216","325"
"02091","945","944","145","184","1231","329","1252","258","379"
"02092","1432","1017","139","223","1751","336","1214","327","908"
"02093","807","873","137","165","1033","345","1234","182","264"
"02094","727","773","121","106","931","342","1080","163","257"
"02095","762","783","136","138","961","310","1123","176","246"
"02096","685","755","121","109","884","326","1021","181","238"
"02097","508","562","108","82","664","216","785","111","174"
"02098","698","803","142","130","945","284","1045","182","274"
"02099","755","847","165","176","968","293","1180","161","261"
"02100","629","698","103","103","798","323","1087","98","142"
"02101","1039","1181","245","170","1268","537","1632","213","375"
"02102","624","784","156","137","763","352","1200","93","115"
"02103","777","894","159","113","1053","346","1231","154","286"
"02104","527","646","143","94","621","315","962","54","157"
"02105","943","1160","203","183","1277","440","1585","192","326"
"02106","658","756","183","112","809","310","1127","110","177"
"02107","750","914","175","155","899","435","1378","131","155"
"02108","749","920","224","126","880","439","1383","115","171"
"02109","934","1117","235","220","1072","524","1740","125","186"
"02110","881","1047","246","167","1161","354","1460","157","311"
"02111","835","998","208","136","1090","399","1427","128","278"
"02112","605","697","127","101","659","415","1133","75","94"
"02113","1072","1172","318","180","1134","612","1871","108","265"
